date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,day_of_week,day_type,Appliances_lag_1,Appliances_lag_2,Appliances_lag_3,Appliances_rolling_mean,Appliances_rolling_std,hour,day,weekday,month,hour_sin,hour_cos,weekday_sin,weekday_cos,lag1_lag2_interaction,daily_mean,daily_sum,daily_min,daily_max
2016-02-18,60,0,21.0,35.6266666666667,19.1666666666667,36.8266666666667,19.89,36.856,18.6,35.845,18.89,42.7257142857143,-1.76,80.8666666666667,18.7,29.3566666666667,21.533333333333296,39.79,17.9633333333333,38.09,-0.2,755.2999999999998,90.0,3.0,62.0,-1.6,15.733720327261835,15.733720327261835,3,Weekday,60.0,50.0,60.0,56.666666666666664,5.773502691919017,0,18,3,2,0.0,1.0,0.43388373911755823,-0.900968867902419,3000.0,73.35820895522389,9830.0,20.0,270.0
2016-02-19,40,0,21.29,35.26,19.79,35.73,19.79,36.9,19.066666666666695,36.4666666666667,17.2,44.7,1.79,79.26333333333329,17.5,31.2,20.5,39.834,17.4371428571429,38.024285714285696,0.3,758.0,99.0,1.0,11.0,0.1,5.789600394200534,5.789600394200534,4,Weekday,50.0,50.0,40.0,46.666666666666664,5.773502691919077,0,19,4,2,0.0,1.0,-0.433883739117558,-0.9009688679024191,2500.0,99.78102189781022,13670.0,20.0,390.0
2016-02-20,30,0,19.79,36.26,17.9633333333333,37.53,20.89,35.9,18.2,36.59,17.14,43.2,5.3,69.5266666666667,18.0,30.726666666666695,19.533333333333296,37.6566666666667,17.5333333333333,37.19333333333329,6.1,757.4,72.0,9.0,40.0,1.3,2.9832465457729995,2.9832465457729995,5,Weekend,40.0,50.0,50.0,40.0,10.000000000012236,0,20,5,2,0.0,1.0,-0.9749279121818236,-0.2225209339563146,2000.0,87.08955223880596,11670.0,10.0,340.0
2016-02-21,50,0,21.89,43.463333333333296,20.533333333333296,43.4666666666667,21.79,41.9571428571429,23.6333333333333,43.5266666666667,18.434,54.79,10.5,93.03,18.1,42.29,21.5,52.1266666666667,17.89,44.79,10.9,754.7,89.0,11.0,25.0,9.1,24.072607920970768,24.072607920970768,6,Weekend,40.0,30.0,30.0,40.0,10.000000000012605,0,21,6,2,0.0,1.0,-0.7818314824680299,0.6234898018587334,1200.0,82.47787610619469,9320.0,10.0,400.0
2016-02-22,40,20,22.1333333333333,44.59,20.823333333333295,44.36,21.89,44.09,22.3566666666667,45.4,18.6,56.9,10.558,80.53799999999998,18.5,43.5,22.0,51.863333333333294,18.463333333333296,46.76,10.4,753.7999999999998,83.0,9.0,40.0,7.599999999999999,44.93055745260789,44.93055745260789,0,Weekday,60.0,60.0,60.0,53.333333333333336,11.547005383804631,0,22,0,2,0.0,1.0,0.0,1.0,3600.0,87.24409448818898,11080.0,20.0,390.0
2016-02-23,60,20,21.6,43.59,20.1666666666667,44.2,21.4266666666667,42.29,21.566666666666695,43.56,19.5,53.9971428571429,4.66,87.3333333333333,19.29,42.86,21.79,49.03,18.5,44.8057142857143,4.4,753.9,93.0,3.0,65.0,3.3,29.03601063881069,29.03601063881069,1,Weekday,50.0,40.0,50.0,50.0,10.00000000001597,0,23,1,2,0.0,1.0,0.7818314824680298,0.6234898018587336,2000.0,92.54237288135593,10920.0,30.0,400.0
2016-02-25,60,20,21.73,37.4,19.89,38.4666666666667,20.6,38.53,22.76,36.9,19.1,51.93,-1.13333333333333,82.06,19.7,35.0957142857143,22.39,41.245,18.02,37.776,0.4,755.7999999999998,87.0,2.0,20.0,-1.6,41.34658589027823,41.34658589027823,3,Weekday,70.0,50.0,60.0,60.0,10.000000000018037,0,25,3,2,0.0,1.0,0.43388373911755823,-0.900968867902419,3500.0,100.08333333333333,12010.0,20.0,360.0
2016-02-26,30,0,21.6,38.76,19.89,39.56,21.29,38.06,21.823333333333295,36.69333333333329,19.39,44.29,2.59,80.18999999999998,19.2385714285714,35.79,21.3566666666667,40.463333333333296,17.89,37.5666666666667,2.0,757.2,95.0,1.0,53.0,1.2,21.8957434524782,21.8957434524782,4,Weekday,40.0,60.0,60.0,43.333333333333336,15.27525231653143,0,26,4,2,0.0,1.0,-0.433883739117558,-0.9009688679024191,2400.0,83.28125,10660.0,10.0,400.0
2016-02-27,50,0,21.0,37.4,19.39,37.0,20.5,36.9666666666667,19.89,35.2,19.6,70.7,0.833333333333333,64.1933333333333,18.7,34.2,20.7,43.09,17.7,38.2666666666667,1.7,751.0,85.0,2.0,20.0,-0.6,22.86010766401887,22.86010766401887,5,Weekend,60.0,30.0,20.0,46.666666666666664,15.275252316531247,0,27,5,2,0.0,1.0,-0.9749279121818236,-0.2225209339563146,1800.0,80.56338028169014,11440.0,20.0,380.0
2016-02-28,50,0,21.29,35.29,19.533333333333296,34.9,20.89,35.9666666666667,19.29,33.1633333333333,17.81,52.9,0.6999999999999998,53.793333333333294,19.7,31.332,22.3566666666667,38.463333333333296,18.0,38.5,1.1,753.9,73.0,5.0,22.0,-3.3,23.221792420372367,23.221792420372367,6,Weekend,60.0,70.0,80.0,60.0,10.000000000016026,0,28,6,2,0.0,1.0,-0.7818314824680299,0.6234898018587334,4200.0,51.015625,6530.0,20.0,150.0
2016-02-29,60,0,20.033333333333296,33.3266666666667,18.1,34.3,19.6,35.26,18.79,32.7,18.29,73.45999999999998,1.29,51.96,20.2,32.73,21.29,39.723333333333294,18.2,37.9,1.7,760.7,70.0,6.0,40.0,-3.3,20.707113249227405,20.707113249227405,0,Weekday,50.0,60.0,40.0,56.666666666666664,5.773502691924516,0,29,0,2,0.0,1.0,0.0,1.0,3000.0,121.52,15190.0,30.0,400.0
2016-03-01,70,20,21.79,35.09,19.39,37.1266666666667,21.1666666666667,35.09,21.8566666666667,33.7,19.0,40.7,-2.0666666666666695,68.4333333333333,20.2,27.533333333333296,22.5,39.0633333333333,18.29,38.863333333333294,-1.0,763.6,92.0,1.0,62.0,-2.1,44.52123189112172,44.52123189112172,1,Weekday,40.0,40.0,40.0,50.0,17.320508075698765,0,1,1,3,0.0,1.0,0.7818314824680298,0.6234898018587336,1600.0,62.74809160305343,8220.0,20.0,370.0
2016-03-02,30,10,21.066666666666695,40.1633333333333,19.39,41.7,20.6,38.4,19.6666666666667,39.4666666666667,19.2,49.5975,8.3,86.9333333333333,18.5,35.73,20.823333333333295,46.7666666666667,17.89,40.4666666666667,8.5,750.2,94.0,9.0,27.0,7.599999999999999,22.809961368329823,22.809961368329823,2,Weekday,20.0,20.0,40.0,23.333333333333332,5.773502691931526,0,2,2,3,0.0,1.0,0.9749279121818236,-0.22252093395631434,400.0,83.92592592592592,11330.0,20.0,330.0
2016-03-03,50,0,21.7,37.4666666666667,20.0,36.8266666666667,20.76,38.4,20.2,36.0,18.5,50.0,0.625,81.52249999999998,18.5,31.89,21.39,41.9,18.2,38.6566666666667,1.5,744.7,94.0,4.0,40.0,0.6,0.0341063714586198,0.0341063714586198,3,Weekday,60.0,30.0,50.0,46.666666666666664,15.275252316530795,0,3,3,3,0.0,1.0,0.43388373911755823,-0.900968867902419,1800.0,75.7983193277311,9020.0,20.0,400.0
2016-03-04,60,10,22.2385714285714,37.0128571428571,20.39,37.29,20.79,38.0,19.89,35.3842857142857,19.1428571428571,52.1214285714286,1.445,78.45874999999998,19.1,31.3525,21.6,41.4666666666667,18.5,39.0257142857143,2.7,748.0,86.0,3.0,29.0,0.6,6.620724766980857,6.620724766980857,4,Weekday,60.0,40.0,40.0,53.333333333333336,11.547005383805873,0,4,4,3,0.0,1.0,-0.433883739117558,-0.9009688679024191,2400.0,88.2394366197183,12530.0,20.0,390.0
2016-03-05,50,0,21.23,37.3266666666667,18.7,39.79,21.39,37.59,19.39,36.1266666666667,18.73,46.6566666666667,0.9,77.26,18.6,32.09,21.7,40.3266666666667,18.29,38.7,0.5,740.5,97.0,1.0,62.0,0.1,49.78911767248064,49.78911767248064,5,Weekend,40.0,50.0,40.0,46.666666666666664,5.773502691923111,0,5,5,3,0.0,1.0,-0.9749279121818236,-0.2225209339563146,2000.0,78.52713178294573,10130.0,20.0,360.0
2016-03-06,30,0,19.7,37.7,17.5,40.0,20.1,37.145,17.89,37.09,18.7,57.49,3.6633333333333296,75.73,18.365,31.675,21.1,38.83333333333329,18.0,37.723333333333294,3.4,744.5,92.0,4.0,40.0,2.2,41.0275281406939,41.0275281406939,6,Weekend,30.0,30.0,50.0,30.0,0.0,0,6,6,3,0.0,1.0,-0.7818314824680299,0.6234898018587334,900.0,78.515625,10050.0,20.0,400.0
2016-03-07,40,20,20.0,37.863333333333294,17.7,39.79,20.2,38.73,20.2,37.26,17.79,68.5233333333333,-0.866666666666667,77.06,17.89,31.7,21.5,42.2666666666667,17.5666666666667,37.2,0.0,747.7,98.0,1.0,49.0,-0.3,0.4123136866837739,0.4123136866837739,0,Weekday,50.0,70.0,60.0,53.333333333333336,15.275252316528455,0,7,0,3,0.0,1.0,0.0,1.0,3500.0,110.62015503875969,14270.0,20.0,370.0
2016-03-09,50,0,20.7,37.933333333333294,17.9266666666667,40.59,20.1,38.09,19.4266666666667,35.2,18.23,47.1266666666667,5.06,75.66333333333331,18.39,34.045,20.7,41.2,17.5,38.1266666666667,4.6,754.0,75.0,6.0,40.0,0.5,33.39746262645349,33.39746262645349,2,Weekday,40.0,40.0,30.0,43.333333333333336,5.773502691925513,0,9,2,3,0.0,1.0,0.9749279121818236,-0.22252093395631434,1600.0,81.7557251908397,10710.0,20.0,370.0
2016-03-10,60,20,20.7,36.59,18.1,39.9,19.89,37.56,21.1,35.4333333333333,18.29,58.03,5.15666666666667,48.4266666666667,18.2,33.8266666666667,20.6,40.93,17.29,36.76,4.1,750.7,78.0,2.0,26.0,0.6,16.993247636128217,16.993247636128217,3,Weekday,60.0,60.0,60.0,60.0,0.0,0,10,3,3,0.0,1.0,0.43388373911755823,-0.900968867902419,3600.0,72.0,9360.0,20.0,360.0
2016-03-11,40,0,21.6,38.0,18.823333333333295,39.933333333333294,21.1,38.0,20.7,33.79,18.39,51.4,2.16333333333333,57.83333333333329,19.6333333333333,33.6566666666667,21.963333333333296,39.933333333333294,18.1,39.933333333333294,2.0,763.0,85.0,1.0,60.0,-0.3,3.893481136765331,3.893481136765331,4,Weekday,50.0,40.0,30.0,43.333333333333336,5.773502691925465,0,11,4,3,0.0,1.0,-0.433883739117558,-0.9009688679024191,2000.0,70.9090909090909,10140.0,20.0,360.0
2016-03-12,40,0,21.1,36.5,18.4266666666667,39.59,20.1,36.463333333333296,19.76,34.79,18.8566666666667,43.0266666666667,3.0,56.6,20.033333333333296,29.7,22.1666666666667,40.3,18.5,39.56,5.3,766.6,85.0,2.0,46.0,2.9,3.82933133514598,3.82933133514598,5,Weekend,50.0,40.0,40.0,43.333333333333336,5.773502691927676,0,12,5,3,0.0,1.0,-0.9749279121818236,-0.2225209339563146,2000.0,88.92857142857143,12450.0,20.0,390.0
2016-03-13,30,0,21.5,36.0,18.6333333333333,38.9,20.1,36.4666666666667,19.89,35.2,18.963333333333296,47.0,1.2,60.7266666666667,20.79,30.43,23.5,36.863333333333294,18.89,39.09,1.5,768.2,87.0,2.0,58.0,-0.4,31.490102189127356,31.490102189127356,6,Weekend,30.0,40.0,30.0,33.333333333333336,5.773502691925735,0,13,6,3,0.0,1.0,-0.7818314824680299,0.6234898018587334,1200.0,66.86131386861314,9160.0,30.0,140.0
2016-03-14,50,0,21.23,35.5,18.245,38.7,20.29,36.9,19.89,34.06,18.79,53.0,2.86333333333333,58.4,21.6666666666667,32.7,23.39,38.6566666666667,19.29,38.4,2.9,769.2,86.0,3.0,64.0,0.8,42.285550571978085,42.285550571978085,0,Weekday,50.0,50.0,50.0,50.0,0.0,0,14,0,3,0.0,1.0,0.0,1.0,2500.0,120.9090909090909,14630.0,20.0,380.0
2016-03-15,50,10,22.2,36.1633333333333,18.79,40.0666666666667,22.2,35.4666666666667,21.1,34.79,19.89,42.6333333333333,1.65,39.845,21.125,26.4975,22.4266666666667,37.363333333333294,19.5,37.9,1.4,766.6,76.0,3.0,22.0,-2.5,19.548353552818295,19.548353552818295,1,Weekday,70.0,60.0,60.0,60.0,10.000000000014893,0,15,1,3,0.0,1.0,0.7818314824680298,0.6234898018587336,4200.0,88.37037037037037,11930.0,20.0,400.0
